Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
CYSTIC ACNE NODULE INJECTION (SHINCORT),procedure,0.00,100.00,105.00,50.00,0.00,9999.00,
** DEBRIDE/DESLOUGHING (>5cm/LARGE),procedure,0.00,150.00,155.00,100.00,,150.00,
**DEBRIDE/DESLOUGHING (<5CM/SMALL),procedure,0.00,100.00,100.00,100.00,0.00,150.00,
** DENGUE COMBO IN-CLINIC,investigation,0.00,40.00,45.00,20.00,0.00,50.00,
** DENGUE FEVER (PANTAI LAB -  DFD1),investigation,0.00,150.00,155.00,92.00,0.00,130.00,
DEQUERVAIN TENOSYNOVITIS INJECTION (SHINCORT),procedure,0.00,150.00,155.00,75.00,0.00,9999.00,
** DRESSING SET (3 Forceps),procedure,0.00,10.00,10.00,5.00,1.50,15.00,
** DRESSING (TYPE 1) NS/POVIDONE IODINE,procedure,0.00,25.00,30.00,10.00,0.00,30.00,
** DRESSING (TYPE 2) CMC/BACTIGRASS,procedure,0.00,35.00,35.00,15.00,0.00,30.00,
DRESSING (TYPE 3) HYDROCYN/DUODERM GEL/CAVIDAGEL,procedure,0.00,45.00,50.00,30.00,0.00,9999.00,
DRESSING (TYPE 4) ADVANCE LARGE COMPLEX,procedure,0.00,60.00,65.00,40.00,0.00,9999.00,
** DXT/DSCAN/RBS/GLUCOMETER,investigation,0.00,10.00,15.00,5.00,0.00,10.00,
EAR/NOSE/THROAT SCOPE ONLY W/O OTHER PROCEDURE,procedure,0.00,,,,,50.00,
** EAR SUCTION ADULT (BILATERAL),procedure,0.00,80.00,85.00,40.00,0.00,160.00,
** EAR SUCTION ADULT (ONE SIDE),procedure,0.00,50.00,55.00,25.00,0.00,80.00,
** EAR SUCTION CHILD (BILATERAL),procedure,0.00,100.00,105.00,50.00,0.00,160.00,
** EAR SUCTION CHILD (ONE SIDE),procedure,0.00,70.00,75.00,35.00,0.00,80.00,
** EAR SYRINGING (BILATERAL),procedure,0.00,70.00,75.00,25.00,0.00,160.00,
** EAR SYRINGING (ONE SIDE),procedure,0.00,40.00,45.00,15.00,0.00,80.00,
** ELECTROCARDIOGRAM (ECG),investigation,0.00,35.00,35.00,10.00,0.00,35.00,
ERYTHROCYTE SEDIMENTATION RATE (PANTAI LAB - ESR),investigation,0.00,20.00,25.00,6.00,0.00,9999.00,
"** EXCISION OF CYST, BENIGN LESION (COMPLEX)",procedure,0.00,250.00,255.00,150.00,0.00,180.00,
"** EXCISION OF CYST, BENIGN LESION (SIMPLE)",procedure,0.00,150.00,155.00,100.00,0.00,180.00,
** EYE IRRIGATION,procedure,0.00,38.00,42.00,15.00,0.00,70.00,
FASTING BLOOD SUGAR (PANTAI LAB - GLUF),investigation,0.00,15.00,20.00,7.00,0.00,9999.00,
FASTING INSULIN - PANTAI (SI),investigation,0.00,169.00,180.00,169.00,,99999.00,180.00
FASTING LIPID PROFILE - FSL (IN-CLINIC),investigation,0.00,45.00,52.00,45.00,0.00,9999.00,
