Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
STOOL FOR ROTAVIRUS (IN-CLINIC),investigation,0.00,50.00,55.00,23.00,0.00,9999.00,
STOOL FOR ROTAVIRUS (PANTAI LAB - SVIR),investigation,0.00,45.00,50.00,21.00,0.00,9999.00,
** SUTURE OPENING PER STITCH (STO),procedure,0.00,4.00,7.00,2.00,0.00,7.00,
SWAB ALL AREA CULTURE & SENSITIVITY (C&S) (PANTAI LAB - THS),investigation,0.00,68.00,75.00,34.00,0.00,9999.00,
** SWAB COVID-19 + INFLUENZA RTK,investigation,0.00,70.00,70.00,15.00,0.00,70.00,
SWAB EYE CULTURE & SENSITIVITY C&S,investigation,0.00,95.00,102.00,64.00,0.00,9999.00,
SWAB MYCOPLASMA+COVID-19+INFLUENZA RTK,investigation,0.00,130.00,135.00,35.00,0.00,9999.00,
SWAB MYCOPLASMA RTK,investigation,0.00,90.00,95.00,20.00,0.00,9999.00,
** SWAB RSV+ADENOV+COVID+INFLUENZA+MYCOPLASMA RTK,investigation,0.00,85.00,90.00,25.00,0.00,70.00,
** SWAB URETHRAL+RECTAL GONORRHEA & CHLAMYDIA RAPID TEST IN-CLINIC,investigation,0.00,55.00,60.00,20.00,0.00,55.00,
SWAB WOUND/PUS CULTURE & SENSITIVITY (C&S),investigation,0.00,80.00,85.00,46.00,0.00,9999.00,
SYPHILIS ANTIBODY RAPID TEST IN-CLINIC,investigation,0.00,40.00,45.00,5.00,0.00,9999.00,
SYRINGE ANY SIZE,service,0.00,1.00,1.00,1.00,0.00,0.00,
TEPID SPONGING,procedure,0.00,10.00,15.00,5.00,0.00,,
TESTOSTERONE (PANTAI LAB - ZTESTO),investigation,0.00,50.00,57.00,25.00,0.00,9999.00,
** THALASSEMIA STUDY (PANTAI LAB - TH01),investigation,0.00,186.00,190.00,100.00,0.00,130.00,
THUMB SPICA SPLINT,service,0.00,40.00,40.00,20.00,13.90,9999.00,
** THYROID PROFILE (TSH + T4) (PANTAI - TR04),investigation,0.00,80.00,85.00,40.00,0.00,65.00,
TIME SLIP,service,0.00,5.00,5.00,3.00,0.00,,
** TOILET & SUTURING (T&S) 5 STITCH + (>5+RM20/S) / GLUSTITCH,procedure,0.00,80.00,85.00,40.00,0.00,80.00,
TOPICAL LOCAL ANAESTHETIC (LA/EMLA) (HALF TUBE),procedure,0.00,23.00,23.00,10.00,0.00,9999.00,
TOTAL BILIRUBIN (PANTAI LAB - TBIL),investigation,0.00,15.00,20.00,7.00,0.00,9999.00,
TPA (RPR) (PANTAI LAB - TPA),investigation,0.00,21.00,28.00,11.00,0.00,9999.00,
TRANSPARENT DRESSING ROLL (ROLL),service,0.00,20.00,25.00,15.00,0.00,,
TREPONEMA PALLIDUM HEAMAGGLUTINATION (PANTAI LAB - TPHA),investigation,0.00,40.00,45.00,16.00,0.00,9999.00,
TRIGGER FINGER INJECTION (SHINCORT),procedure,0.00,150.00,155.00,75.00,0.00,9999.00,
TROPONIN I (QUALITATIVE) PANTAI LAB,investigation,0.00,100.00,105.00,20.00,0.00,9999.00,
TSH THYROID ADD ON (PANTAI ZTSH),investigation,0.00,30.00,35.00,20.00,15.00,9999.00,
TUMOR MARKERS B (MALE) (TM22),investigation,0.00,235.00,240.00,107.00,0.00,9999.00,
"TUMOUR MARKERS (AFP,BETA HCG,CA125,CA15-3,CA19-9,CEA) (PANTAI LAB - TM12)",investigation,0.00,400.00,450.00,145.00,0.00,9999.00,
** UFEME (URINE FULL EXAMINATION) IN-CLINIC,investigation,0.00,15.00,20.00,8.00,0.00,15.00,
URIC ACID ( PANTAI LAB - UA),investigation,0.00,20.00,25.00,7.00,0.00,9999.00,
URIGHT STRIP (50s),service,0.00,75.00,80.00,60.00,58.41,9999.00,
** URINE CULTURE & SENSITIVITY (C&S) - (PANTAI LAB - UCS),investigation,0.00,68.00,75.00,34.00,0.00,50.00,
URINE DRUG (OPIATE & CANNABINOIDES) - (PANTAI LAB - DRSC),investigation,0.00,45.00,50.00,,,9999.00,
URINE FOR DRUG IN-CLINIC,investigation,0.00,50.00,50.00,20.00,0.00,9999.00,
** URINE MICROALBUMIN (PANTAI LAB - MALB),investigation,0.00,75.00,80.00,36.00,0.00,50.00,
** URINE MICROSCOPY (PANTAI LAB - UFEME),investigation,0.00,18.00,25.00,8.00,0.00,15.00,
** URINE PREGNANCY TEST (UPT) IN-CLINIC,investigation,0.00,15.00,20.00,5.00,0.00,15.00,
** URINE PROTEIN 24 HOURS (PANTAI LAB - 24UPRO),investigation,0.00,30.00,35.00,25.00,0.00,50.00,
URINE PROTEIN/CREATININE RATIO 24 HOURS,service,0.00,90.00,95.00,45.00,45.00,50.00,
** USG ABDOMEN / HBS,investigation,0.00,50.00,70.00,25.00,0.00,100.00,
USG GROWTH SCAN TWIN,service,0.00,110.00,115.00,100.00,110.00,999.00,110.00
** USG KIDNEY URETER BLADDER (KUB),investigation,0.00,50.00,50.00,20.00,0.00,100.00,
USG MSK/SOFT TISSUE,investigation,0.00,50.00,50.00,15.00,0.00,9999.00,
USG Thyroid,investigation,0.00,100.00,100.00,50.00,,0.00,
** WART/MOLE EXCISION (PER LESION) LASER,procedure,0.00,150.00,155.00,50.00,0.00,180.00,
WATER PROOF SURGICAL DRESSING,procedure,0.00,10.00,15.00,10.00,0.00,,
** WOUND EXPLORATION & FB REMOVAL,procedure,0.00,100.00,105.00,50.00,0.00,150.00,
WRIST BRACE SPLINT SUPPORT,service,0.00,40.00,40.00,20.00,19.88,9999.00,
** XRAY 2VIEWS (ANY PART),investigation,0.00,9999.00,9999.00,9999.00,9999.00,90.00,9999.00
XRAY ABDOMEN,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY ANKLE,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY (ANY) >2 PARTS,service,0.00,110.00,105.00,70.00,110.00,9999.00,105.00
XRAY BL KNEE-AP & LATERAL,investigation,0.00,100.00,100.00,50.00,0.00,9999.00,
XRAY BL KNEE-AP ONLY,investigation,0.00,70.00,70.00,25.00,0.00,9999.00,
XRAY CALCANEUS,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY CERVICAL,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY CHEST (AP & OBLIQUE),investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY CHEST (AP/PA),investigation,0.00,50.00,55.00,10.00,0.00,9999.00,
** XRAY CHEST PA ONLY (INFECTION),investigation,0.00,9999.00,9999.00,9999.00,9999.00,45.00,9999.00
XRAY CHEST TRO PTB (FREE) GERAN PKD,investigation,0.00,0.00,0.00,0.00,0.00,,
XRAY CLAVICLE,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY ELBOW,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY FEMUR,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY FOOT,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY FOREARM (RADIUS-ULNA),investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY HAND,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY HIP,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY HUMERUS,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY KNEE (1 SIDE) AP & LATERAL,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY KNEE (1 SIDE) ONE VIEW,investigation,0.00,50.00,50.00,20.00,0.00,9999.00,
XRAY KUB,investigation,0.00,50.00,50.00,25.00,,9999.00,
** XRAY KUB/ABDOMEN,investigation,0.00,9999.00,9999.00,9999.00,9999.00,70.00,9999.00
XRAY LOWER LEG (TIBIA-FIBULA),investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY LUMBOSACRAL,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY ORBITAL,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY PELVIS,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY SHOULDER,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY SKULL,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY STERNAL VIEW,investigation,0.00,50.00,50.00,50.00,0.00,9999.00,
XRAY THORACOLUMBAR,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
XRAY WATERS VIEW/ORBITAL-SKULL,investigation,0.00,50.00,50.00,25.00,0.00,9999.00,
XRAY WRIST,investigation,0.00,70.00,70.00,35.00,0.00,9999.00,
